"","X","Y","OBJECTID","stop_id","stop_code","stop_name","stop_desc","platform_code","platform_name","stop_lat","stop_lon","zone_id","stop_address","stop_url","level_id","location_type","parent_station","wheelchair_boarding","municipality","on_street","at_street","vehicle_type","Sidewalk_Width__ft_","Accessibility_Score","Sidewalk_Condition","Sidewalk_Material","Current_Shelter","Routes","Municipality_1","Neighborhood","created_user","created_date","last_edited_user","last_edited_date"
"14",-71.0957820003955,42.2714660000446,646726,"DB-2222-01",NA,"Blue Hill Avenue","Blue Hill Avenue - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.271466,-71.095782,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2222","",0,"place-DB-2222",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"15",-71.0957820003955,42.2714660000446,646727,"DB-2222-02",NA,"Blue Hill Avenue","Blue Hill Avenue - Commuter Rail - Track 2 (South Station)",2,"Track 2 (South Station)",42.271466,-71.095782,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2222","",0,"place-DB-2222",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"16",-71.0854749994928,42.2809940004289,646729,"DB-2230",NA,"Morton Street","Morton Street - Commuter Rail",NA,"Commuter Rail",42.280994,-71.085475,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2230","",0,"place-DB-2230",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"17",-71.0854749994928,42.2809940004289,646730,"DB-2230-01",NA,"Morton Street","Morton Street - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.280994,-71.085475,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2230","",0,"place-DB-2230",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"18",-71.0854749994928,42.2809940004289,646731,"DB-2230-02",NA,"Morton Street","Morton Street - Commuter Rail - Track 2 (South Station)",2,"Track 2 (South Station)",42.280994,-71.085475,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2230","",0,"place-DB-2230",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"19",-71.0781400001291,42.2922460000535,646733,"DB-2240",NA,"Talbot Avenue","Talbot Avenue - Commuter Rail",NA,"Commuter Rail",42.292246,-71.07814,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2240","",0,"place-DB-2240",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"20",-71.0781400001291,42.2922460000535,646734,"DB-2240-01",NA,"Talbot Avenue","Talbot Avenue - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.292246,-71.07814,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2240","",0,"place-DB-2240",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"21",-71.0781400001291,42.2922460000535,646735,"DB-2240-02",NA,"Talbot Avenue","Talbot Avenue - Commuter Rail - Track 2 (South Station)",2,"Track 2 (South Station)",42.292246,-71.07814,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2240","",0,"place-DB-2240",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"22",-71.0768329998269,42.3050369996282,646737,"DB-2249",NA,"Four Corners/Geneva","Four Corners/Geneva - Commuter Rail",NA,"Commuter Rail",42.305037,-71.076833,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2249","",0,"place-DB-2249",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"23",-71.0768329998269,42.3050369996282,646738,"DB-2249-01",NA,"Four Corners/Geneva","Four Corners/Geneva - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.305037,-71.076833,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2249","",0,"place-DB-2249",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"24",-71.0768329998269,42.3050369996282,646739,"DB-2249-02",NA,"Four Corners/Geneva","Four Corners/Geneva - Commuter Rail - Track 2 (South Station)",2,"Track 2 (South Station)",42.305037,-71.076833,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2249","",0,"place-DB-2249",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"25",-71.0686270005174,42.3191249995589,646741,"DB-2258",NA,"Uphams Corner","Uphams Corner - Commuter Rail",NA,"Commuter Rail",42.319125,-71.068627,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2258","",0,"place-DB-2258",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"26",-71.0686270005174,42.3191249995589,646742,"DB-2258-01",NA,"Uphams Corner","Uphams Corner - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.319125,-71.068627,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2258","",0,"place-DB-2258",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"27",-71.0686270005174,42.3191249995589,646743,"DB-2258-02",NA,"Uphams Corner","Uphams Corner - Commuter Rail - Track 2 (South Station)",2,"Track 2 (South Station)",42.319125,-71.068627,"CR-zone-1A",NA,"https://www.mbta.com/stops/place-DB-2258","",0,"place-DB-2258",1,"Boston",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
